  ΓöÇΓöÇ MasterEq (80) ΓöÇΓöÇ
    [MasterEq|D_phi] Γûí_{D_phi}(clip_para) = 1┬╖clip_para (Γûí-eigenvalue)  (residual=0.00e+00, pts=8)
    [MasterEq|D_phi] Γûí_{D_phi}(clip_para) = 1┬╖D_phi(clip_para) (damped)  (residual=0.00e+00, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(tanh) = 0.10557281┬╖D_Lambda(tanh) (damped)  (residual=6.47e-13, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(gauss) = 0.011145618┬╖gauss (Γûí-eigenvalue)  (residual=4.20e-56, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(gauss) = 0.10557281┬╖D_Lambda(gauss) (damped)  (residual=5.35e-57, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(gauss_x) = 0.011145618┬╖gauss_x (Γûí-eigenvalue)  (residual=2.17e-19, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(gauss_x) = 0.10557281┬╖D_Lambda(gauss_x) (damped)  (residual=2.17e-19, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(sigmoid) = 0.10557139┬╖D_Lambda(sigmoid) (damped)  (residual=2.12e-08, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(gauss4) = 0.011145618┬╖gauss4 (Γûí-eigenvalue)  (residual=1.36e-16, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(gauss4) = 0.10557281┬╖D_Lambda(gauss4) (damped)  (residual=1.74e-17, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(airy) = 0.011145618┬╖airy (Γûí-eigenvalue)  (residual=3.42e-14, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(airy) = 0.10557281┬╖D_Lambda(airy) (damped)  (residual=4.35e-15, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(zeta) = 0.10556656┬╖D_Lambda(zeta) (damped)  (residual=6.44e-07, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(exp_neg_a) = 0.011144635┬╖exp_neg_a (Γûí-eigenvalue)  (residual=1.66e-07, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(exp_neg_a) = 0.10557162┬╖D_Lambda(exp_neg_a) (damped)  (residual=2.12e-08, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(exp_inv_a) = 0.011145475┬╖exp_inv_a (Γûí-eigenvalue)  (residual=1.50e-08, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(exp_inv_a) = 0.10557264┬╖D_Lambda(exp_inv_a) (damped)  (residual=1.91e-09, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(sech2) = 0.011145618┬╖sech2 (Γûí-eigenvalue)  (residual=2.03e-11, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(sech2) = 0.10557281┬╖D_Lambda(sech2) (damped)  (residual=2.59e-12, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(gauss2) = 0.011145618┬╖gauss2 (Γûí-eigenvalue)  (residual=2.14e-29, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(gauss2) = 0.10557281┬╖D_Lambda(gauss2) (damped)  (residual=2.72e-30, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(clip_para) = 0.011145618┬╖clip_para (Γûí-eigenvalue)  (residual=4.34e-19, pts=8)
    [MasterEq|D_Lambda] Γûí_{D_Lambda}(clip_para) = 0.10557281┬╖D_Lambda(clip_para) (damped)  (residual=4.34e-19, pts=8)
    [MasterEq|Delta] Γûí_{Delta}(exp) = 2.9524924┬╖exp (Γûí-eigenvalue)  (residual=1.82e-12, pts=8)
    [MasterEq|Delta] Γûí_{Delta}(exp) = -1.7182818┬╖Delta(exp) (damped)  (residual=1.82e-12, pts=8)
    [MasterEq|Delta] Γûí_{Delta}(phi_pow) = ╧å^-2┬╖phi_pow (Γûí-eigenvalue)  (residual=1.24e-14, pts=8)
    [MasterEq|Delta] Γûí_{Delta}(phi_pow) = -1/╧å┬╖Delta(phi_pow) (damped)  (residual=1.24e-14, pts=8)
    [MasterEq|Delta] Γûí_{Delta}(lam_pow) = 34.27051┬╖lam_pow (Γûí-eigenvalue)  (residual=2.33e-10, pts=8)
    [MasterEq|Delta] Γûí_{Delta}(lam_pow) = -5.854102┬╖Delta(lam_pow) (damped)  (residual=1.86e-09, pts=8)
    [MasterEq|Delta] Γûí_{Delta}(exp_neg_a) = 0.3995764┬╖exp_neg_a (Γûí-eigenvalue)  (residual=1.39e-17, pts=8)
    [MasterEq|Delta] Γûí_{Delta}(exp_neg_a) = 0.63212056┬╖Delta(exp_neg_a) (damped)  (residual=1.73e-18, pts=8)
