  ΓöÇΓöÇ EigenvalueEq (1129) ΓöÇΓöÇ
    [EigenvalueEq|d_dr] (-Γûí+id)(id) = 1.6180343┬╖id (eigenvalue)  (residual=5.66e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sq)(id) = 2.6180351┬╖id (eigenvalue)  (residual=1.83e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cube)(id) = 4.2360707┬╖id (eigenvalue)  (residual=4.45e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+x4)(id) = 6.8541079┬╖id (eigenvalue)  (residual=9.60e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+inv)(id) = 0.61803386┬╖id (eigenvalue)  (residual=2.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+inv_sq)(id) = 0.38196585┬╖id (eigenvalue)  (residual=2.67e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sqrt_a)(id) = 1.2720198┬╖id (eigenvalue)  (residual=2.23e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp)(id) = 5.0431674┬╖id (eigenvalue)  (residual=2.86e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+log)(id) = 0.48121204┬╖id (eigenvalue)  (residual=3.50e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sin)(id) = 0.99888449┬╖id (eigenvalue)  (residual=2.67e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cos)(id) = -0.047220446┬╖id (eigenvalue)  (residual=5.66e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sinh)(id) = 2.4224397┬╖id (eigenvalue)  (residual=1.48e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cosh)(id) = 2.6207277┬╖id (eigenvalue)  (residual=1.37e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+tanh)(id) = 0.92433854┬╖id (eigenvalue)  (residual=8.25e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+atan)(id) = 1.0172221┬╖id (eigenvalue)  (residual=1.57e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss)(id) = 0.072946052┬╖id (eigenvalue)  (residual=1.34e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss_x)(id) = 0.11802922┬╖id (eigenvalue)  (residual=1.75e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sigmoid)(id) = 0.83452386┬╖id (eigenvalue)  (residual=7.82e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+lgamma)(id) = -0.11017967┬╖id (eigenvalue)  (residual=8.01e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+phi_pow)(id) = 2.1784579┬╖id (eigenvalue)  (residual=5.94e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sincos)(id) = -0.047167771┬╖id (eigenvalue)  (residual=5.64e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+half_sq)(id) = 1.3090176┬╖id (eigenvalue)  (residual=9.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+qtr_x4)(id) = 1.713527┬╖id (eigenvalue)  (residual=2.40e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+neg_inv_a)(id) = -0.61803386┬╖id (eigenvalue)  (residual=2.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss4)(id) = 0.1466039┬╖id (eigenvalue)  (residual=6.72e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sin_shift)(id) = -0.094334844┬╖id (eigenvalue)  (residual=2.53e-09, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+J0)(id) = 0.44510874┬╖id (eigenvalue)  (residual=3.24e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+digamma)(id) = 0.14036463┬╖id (eigenvalue)  (residual=4.80e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+airy)(id) = 0.063422944┬╖id (eigenvalue)  (residual=5.12e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+zeta)(id) = 2.1446683┬╖id (eigenvalue)  (residual=1.11e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+eta)(id) = 0.65466028┬╖id (eigenvalue)  (residual=9.70e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+csc)(id) = 1.0011168┬╖id (eigenvalue)  (residual=2.68e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+asinh)(id) = 1.2585029┬╖id (eigenvalue)  (residual=2.98e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sinc)(id) = 0.61734443┬╖id (eigenvalue)  (residual=2.33e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+J1)(id) = 0.57161865┬╖id (eigenvalue)  (residual=5.20e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+H2)(id) = 8.4721405┬╖id (eigenvalue)  (residual=7.33e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+L1)(id) = -0.61803434┬╖id (eigenvalue)  (residual=5.66e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+L2)(id) = -0.92705112┬╖id (eigenvalue)  (residual=2.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+P2)(id) = 3.4270527┬╖id (eigenvalue)  (residual=2.75e-06, pts=8)
