  ΓöÇΓöÇ GaugedUFE (30) ΓöÇΓöÇ
    [GaugedUFE|D+A[1/x]] Γûí_A(inv) [A=1/x] = 0 (gauged harmonic)  (residual=8.19e-07, pts=8)
    [GaugedUFE|D+A[1/x]] Γûí_A(neg_inv_a) [A=1/x] = 0 (gauged harmonic)  (residual=8.19e-07, pts=8)
    [GaugedUFE|D+A[1/x]] Γûí_A(ellipK) [A=1/x] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1/x┬▓]] Γûí_A(ellipK) [A=1/x┬▓] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[x]] Γûí_A(ellipK) [A=x] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[x┬▓]] Γûí_A(ellipK) [A=x┬▓] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1]] Γûí_A(ellipK) [A=1] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[ln|x|]] Γûí_A(ellipK) [A=ln|x|] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1/x]] Γûí_A(Li2) [A=1/x] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1/x┬▓]] Γûí_A(Li2) [A=1/x┬▓] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[x]] Γûí_A(Li2) [A=x] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[x┬▓]] Γûí_A(Li2) [A=x┬▓] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1]] Γûí_A(Li2) [A=1] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[ln|x|]] Γûí_A(Li2) [A=ln|x|] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1/x]] Γûí_A(theta3) [A=1/x] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1/x┬▓]] Γûí_A(theta3) [A=1/x┬▓] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[x]] Γûí_A(theta3) [A=x] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[x┬▓]] Γûí_A(theta3) [A=x┬▓] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1]] Γûí_A(theta3) [A=1] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[ln|x|]] Γûí_A(theta3) [A=ln|x|] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1/x]] Γûí_A(atanh) [A=1/x] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1/x┬▓]] Γûí_A(atanh) [A=1/x┬▓] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[x]] Γûí_A(atanh) [A=x] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[x┬▓]] Γûí_A(atanh) [A=x┬▓] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1]] Γûí_A(atanh) [A=1] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[ln|x|]] Γûí_A(atanh) [A=ln|x|] = 0 (gauged harmonic)  (residual=0.00e+00, pts=8)
    [GaugedUFE|D+A[1]] Γûí_A(exp_neg_a) [A=1] = 0 (gauged harmonic)  (residual=1.00e-07, pts=8)
    [GaugedUFE|D+A[x]] Γûí_A(gauss2) [A=x] = 0 (gauged harmonic)  (residual=2.95e-07, pts=8)
    [GaugedUFE|D+A[1/x]] Γûí_A(thresh_inv) [A=1/x] = 0 (gauged harmonic)  (residual=1.39e-06, pts=8)
    [GaugedUFE|D+A[1/x]] Γûí_A(step) [A=1/x] = 0 (gauged harmonic)  (residual=2.02e-11, pts=8)
